,Address,Property Type,Price,Beds,Bath,Square Feet,Brokerages,Borough,Zipcode,Neighborhood,Longitude,Latitude
956,"1032 Rhinelander AveBronx, NY 10461",Multi-family home ,869000.0,6,3.0,1526.0, Han Tang Realty Inc.,Bronx,10461.0,Southeast Bronx,-73.856443,40.8505252
957,"1238 Pinchot PlBronx, NY 10461",House ,749000.0,3,2.0,1480.0, Today Realty Corp.,Bronx,10461.0,Southeast Bronx,-73.8484651,40.8534458
958,"2390 Palisade Ave Apt 4KBronx, NY 10463",Co-op ,240900.0,2,1.0,875.0, RE MAX,Bronx,10463.0,Riverdale,-73.9204193,40.8797408
959,"47-17 39th AveSunnyside, NY 11104",House ,1295000.0,3,1.0,2184.207862, Winzone Realty Inc,Queens,11104.0,Northwest Queens,-73.9158547,40.7493551
960,"1121 E 22nd StBrooklyn, NY 11210",Pending,3850000.0,8,6.0,6200.0, Ideal Properties Realty,Brooklyn,11210.0,Flatbush,-73.9539607,40.62481
961,"921 Nugent AveStaten Island, NY 10306",House ,549000.0,5,2.0,1716.0, RE MAX,Staten Island,10306.0,South Shore,-74.0972787,40.5721728
962,"4315 Webster Ave Apt 3JBronx, NY 10470",Co-op ,129000.0,1,1.0,750.0, Houlihan Lawrence,Bronx,10470.0,Northeast Bronx,-73.8623678,40.8995193
963,"131 Roff StStaten Island, NY 10304",House ,475000.0,3,2.0,900.0," Homes R Us Realty of NY, Inc.",Staten Island,10304.0,Stapleton,-74.0822185,40.6158816
964,"1957 Ryder StBrooklyn, NY 11234",Multi-family home ,980000.0,4,3.0,1408.0, CENTURY 21,Brooklyn,11234.0,Canarsie,-73.92961,40.611841
965,"1511 85th StBrooklyn, NY 11228",Multi-family home ,1199000.0,4,2.0,1824.0, RE MAX,Brooklyn,11228.0,Southwest Brooklyn,-74.0084031,40.6119254
966,"64-14 Beach Front RdArverne, NY 11692",Townhouse ,1299999.0,5,5.0,3134.0, Keller Williams,Queens,11692.0,Rockaway,-73.7934039,40.5883339
967,"1750 E 14th St Apt L4Brooklyn, NY 11229",Co-op ,265000.0,2,1.0,1100.0, RE MAX Distinguished Homes & Properties,Brooklyn,11229.0,South Brooklyn,-73.9590334,40.6068092
968,"750 Kappock St Apt 502Bronx, NY 10463",Co-op ,262500.0,1,1.0,2184.207862, Keller Williams,Bronx,10463.0,Riverdale,-73.9200169,40.8819467
969,"100 Wadsworth RdStaten Island, NY 10305",House ,2699000.0,7,6.0,11250.0," Robert Defalco Realty, Inc.",Staten Island,10305.0,Stapleton,-74.0597773,40.6087694
970,"2217 Gunther AveBronx, NY 10469",House ,1200000.0,4,4.0,3300.0, Today Realty Corp.,Bronx,10469.0,Northeast Bronx,-73.8365535,40.8580056
971,"32 Downing St Apt 2DManhattan, NY 10014",Co-op ,850000.0,1,1.0,2184.207862, COMPASS,Manhattan,10014.0,Soho,-74.003447,40.729293
973,"153 Johnson AveStaten Island, NY 10307",House ,989000.0,6,4.0,2720.0, Encore Real Estate LLC,Staten Island,10307.0,South Shore,-74.2470716,40.5119454
975,"263 W 254th StBronx, NY 10471",Multi-family home ,899999.0,5,3.0,1800.0, CENTURY 21 Galvez,Bronx,10471.0,Riverdale,-73.8999396,40.9016185
976,"150-32 Sullivan DrWhitestone, NY 11357",House ,2780000.0,5,6.0,3045.0, United Realty Associates,Queens,11357.0,North Queens,-73.8160751,40.7967438
977,"215 W 92nd St Apt 5FManhattan, NY 10025",Co-op ,999000.0,2,1.0,1050.0, COMPASS,Manhattan,10025.0,Upper East Side,-73.9731768,40.7921116
978,"1441 Troy AveBrooklyn, NY 11203",Multi-family home ,699000.0,6,2.0,2184.207862, Our Community Realty Ltd,Brooklyn,11203.0,Flatbush,-73.9344092,40.6373525
979,"2 E 55th St Unit 809W35Manhattan, NY 10022",Condo ,60000.0,3,1.0,445.0, COMPASS,Manhattan,10022.0,Gramercy Park,-73.9746128,40.7613979
980,"44 Montell StStaten Island, NY 10302",House ,499999.0,4,2.0,1248.0, Premier Homes Pros,Staten Island,10302.0,Port Richmond,-74.1388487,40.6289462
981,"67 Reynolds StStaten Island, NY 10305",House ,599999.0,3,2.0,1272.0, Momentum Real Estate Llc,Staten Island,10305.0,Stapleton,-74.0753235,40.6111849
982,"328 Manor RdStaten Island, NY 10314",House ,725000.0,4,2.0,2000.0, RE MAX,Staten Island,10314.0,Mid Island,-74.1237895,40.6199521
983,"9954 Fort Hamilton PkwyBrooklyn, NY 11209",House ,998888.0,3,2.0,1780.0," BEN BAY REALTY CO OF BAY RIDGE, LLC",Brooklyn,11209.0,Southwest Brooklyn,-74.0323281,40.6117545
984,"1 Opal CtBrooklyn, NY 11229",Multi-family home ,980000.0,3,4.0,2700.0, RE MAX,Brooklyn,11229.0,South Brooklyn,-73.9252126,40.586018
985,"69-10 Penelope AveMiddle Village, NY 11379",House ,800000.0,3,2.0,2184.207862, Sold By Bart R E Partners Inc,Queens,11379.0,West Central Queens,-73.8858453,40.71593
986,"610 City Island AveBronx, NY 10464",House ,1299000.0,3,4.0,4450.0, CENTURY 21 Marciano,Bronx,10464.0,Southeast Bronx,-73.7906694,40.854862
987,"1557 E 34th StBrooklyn, NY 11234",House ,799000.0,3,2.0,1128.0, Madison Estates Sotheby's International Realty,Brooklyn,11234.0,Canarsie,-73.9415274,40.6169213
988,"1870 Haight AveBronx, NY 10461",House ,995000.0,3,2.0,3080.0, Elite Real Estate Group 1 Llc,Bronx,10461.0,Southeast Bronx,-73.854324,40.8513854
989,"1923 66th StBrooklyn, NY 11204",House ,1250000.0,5,3.0,2295.0, Ashford Homes LLC,Brooklyn,11204.0,Borough Park,-73.9878352,40.617019
990,"43-02 Orient AveDouglaston, NY 11363",Multi-family home ,1275000.0,3,4.0,2184.207862, Tiffany Moves You Inc,Queens,11363.0,Northeast Queens,-73.7439734,40.7675169
991,"1817 Amethyst StBronx, NY 10462",Multi-family home ,749999.0,6,3.0,3150.0, YourHomeSold Guarantee Realty,Bronx,10462.0,Southeast Bronx,-73.868163,40.8453955
992,"259 New York AveBrooklyn, NY 11216",Townhouse ,2650000.0,5,4.0,4100.0, Serhant,Brooklyn,11216.0,Central Brooklyn,-73.9473427,40.6711016
993,"139 W 85th St Apt 3New York, NY 10024",Co-op ,999000.0,2,1.0,2184.207862, Yoreevo,Manhattan,10024.0,Upper East Side,-73.974142,40.7866659
994,"84-70 129th St Unit 1VKew Gardens, NY 11415",Co-op ,279000.0,2,1.0,2184.207862, Sold By Bart R E Partners Inc,Queens,11415.0,nan,-73.82404,40.7069299
995,"57 Stone Ln Unit 2Staten Island, NY 10314",Condo ,479000.0,2,2.0,1008.0, Ditommaso Real Estate,Staten Island,10314.0,Mid Island,-74.1583011,40.5782884
996,"242 E 7th St Unit PhNew York, NY 10009",Co-op ,2300000.0,2,2.0,1600.0, Douglas Elliman  ,Manhattan,10009.0,Lower East Side,-73.9781735,40.7236159
997,"26910 Grand Central Pkwy Apt 15AFloral Park, NY 11005",Pending,294000.0,1,2.0,1074.0, Signature Premier Properties,Queens,11005.0,Southwest Queens,-73.7159564,40.7577991
998,"104-30 219th StJamaica, NY 11429",Multi-family home ,1390000.0,6,5.0,2245.0, Exp Realty,Queens,11429.0,Southwest Queens,-73.7361784,40.7111134
999,"97-10 62nd Dr Unit 8ERego Park, NY 11374",Co-op ,450000.0,3,2.0,1026.0, COMPASS,Queens,11374.0,West Central Queens,-73.8611654,40.7323502
1000,"203 W 102nd St Apt 1FNew York, NY 10025",Co-op ,999000.0,3,2.0,2184.207862, Bond New York,Manhattan,10025.0,Upper East Side,-73.9680164,40.7982086
1001,"221 Benedict RdStaten Island, NY 10304",House ,1999000.0,4,4.0,3420.0," Robert Defalco Realty, Inc.",Staten Island,10304.0,Stapleton,-74.1059876,40.5939144
1002,"31-50 Buell StEast Elmhurst, NY 11369",Mobile house ,1288000.0,6,3.0,2184.207862, BLACKWATER ASSOCIATES INC,Queens,11369.0,West Queens,-73.861558,40.760908
1004,"69 Sherman AveStaten Island, NY 10301",House ,569900.0,4,2.0,2180.0, COMPASS,Staten Island,10301.0,Stapleton,-74.0807615,40.6395577
1005,"47-34 Glenwood StLittle Neck, NY 11362",House ,1630000.0,7,4.0,2184.207862, Sweet Key Realty Group Inc,Queens,11362.0,Northeast Queens,-73.7318799,40.7704732
1006,"11431 120th StSouth Ozone Park, NY 11420",Multi-family home ,689888.0,3,2.0,1300.0, EXIT REALTY ACHIEVE,Queens,11420.0,nan,-73.8188973,40.6780811
1007,"150-10 Melbourne Ave Unit 368AFlushing, NY 11367",Co-op ,378000.0,2,1.0,2184.207862, E Realty International Corp,Queens,11367.0,Central Queens,-73.81974,40.7341999
1008,"248 W 71st StNew York, NY 10023",Townhouse ,23900000.0,6,2.5,7110.0, Corcoran,Manhattan,10023.0,Upper East Side,-73.9840907,40.7785441
1009,"112-50 Northern Blvd Unit 1ECorona, NY 11368",Co-op ,149000.0,1,1.0,2184.207862, O Kane Realty,Queens,11368.0,West Queens,-73.8569399,40.7581299
1010,"92 Arlington PlStaten Island, NY 10303",House ,589000.0,4,3.0,1320.0, RE MAX,Staten Island,10303.0,Port Richmond,-74.166895,40.63567
1011,"50 Tyndale StStaten Island, NY 10312",Pending,958000.0,3,2.0,2259.0, ProBase Real Estate,Staten Island,10312.0,South Shore,-74.1685622,40.5292852
1012,"44-20 Douglaston Pkwy Unit 2GDouglaston, NY 11363",Co-op ,195000.0,1,1.0,2184.207862, East Coast REALTORS Inc,Queens,11363.0,Northeast Queens,-73.7453922,40.7659255
1013,"51 Seafoam StStaten Island, NY 10306",House ,299000.0,1,1.0,608.0, Comfort Homes Realty Group,Staten Island,10306.0,South Shore,-74.0989788,40.5638362
1014,"2-11 147 StWhitestone, NY 11357",House ,1750000.0,4,4.0,3645.0, RE MAX,Queens,11357.0,North Queens,-73.822999,40.7968959
1015,"62-14 80th StMiddle Village, NY 11379",Townhouse ,815000.0,3,2.0,2184.207862, Douglas Elliman ,Queens,11379.0,West Central Queens,-73.877617,40.722658
1016,"34-21 83rd StJackson Heights, NY 11372",Multi-family home ,989000.0,5,3.0,2184.207862, Best American Homes Inc,Queens,11372.0,West Queens,-73.8836878,40.7531679
1017,"357 W 30th St # 5/6New York, NY 10001",Condo ,1075000.0,2,2.0,2184.207862, Corcoran,Manhattan,10001.0,Chelsea,-73.9974127,40.7507895
1018,"1175 York Ave Apt 7BNew York, NY 10065",House ,879000.0,2,1.0,1000.0, Douglas Elliman ,Manhattan,10065.0,Upper East Side,-73.9579786,40.7615369
1019,"126 E 12th St Apt 6ANew York, NY 10003",Co-op ,999995.0,2,1.0,2184.207862, Corcoran,Manhattan,10003.0,Lower East Side,-73.9888999,40.7321997
1020,"2727 Palisade Ave Apt 5BBronx, NY 10463",Co-op ,430000.0,2,2.0,1200.0," Robert E. Hill, Inc.",Bronx,10463.0,Riverdale,-73.9206428,40.8830657
1022,"1123 Bay Ridge PkwyBrooklyn, NY 11228",House ,999000.0,3,2.0,1900.0, RE MAX,Brooklyn,11228.0,Southwest Brooklyn,-74.0109676,40.6228038
1023,"99-07 70th AveForest Hills, NY 11375",House ,2299000.0,6,4.0,2184.207862, Keller Williams,Queens,11375.0,West Central Queens,-73.8496941,40.7171982
1024,"36-19 217 StBayside, NY 11361",House ,1225000.0,4,2.0,1960.0, Tapestry Real Estate of Queens,Queens,11361.0,Northeast Queens,-73.7666662,40.7684802
1025,"85-05 Eliot AveRego Park, NY 11374",House ,849000.0,3,2.0,2184.207862, EXIT REALTY ONE,Queens,11374.0,West Central Queens,-73.8732527,40.7282284
1026,"75-57 186th StFresh Meadows, NY 11366",House ,1350000.0,4,3.0,1760.0, Winzone Realty Inc,Queens,11366.0,Central Queens,-73.7830175,40.7293576
1027,"780 Ionia AveStaten Island, NY 10312",House ,1600000.0,4,4.0,3150.0," NEUHAUS REALTY, INC.",Staten Island,10312.0,South Shore,-74.1987178,40.5364873
1028,"1 Central Park W Unit 612Manhattan, NY 10023",Condo ,600000.0,3,1.0,441.0, COMPASS,Manhattan,10023.0,Upper East Side,-73.98162,40.7691094
1029,"269 W 72nd St Apt 12DNew York, NY 10023",Co-op ,435000.0,3,1.0,2184.207862, Douglas Elliman ,Manhattan,10023.0,Upper East Side,-73.9841598,40.7799639
1030,"8002 Harbor View TerBrooklyn, NY 11209",Pending,4999999.0,4,4.0,4342.0, COMPASS,Brooklyn,11209.0,Southwest Brooklyn,-74.0384351,40.6301693
1031,"1433 E 105th StBrooklyn, NY 11236",Pending,800000.0,3,2.5,2184.207862, Corcoran,Brooklyn,11236.0,Canarsie,-73.8846089,40.6388264
1032,"302 96th St Apt 4LBrooklyn, NY 11209",Co-op ,329000.0,1,1.0,750.0, COMPASS,Brooklyn,11209.0,Southwest Brooklyn,-74.0335829,40.61593
1033,"12 College Pl Unit TownhouseBrooklyn, NY 11201",Townhouse ,10975000.0,3,4.0,2184.207862, Brown Harris Stevens,Brooklyn,11201.0,Northwest Brooklyn,-73.9941542,40.6963652
1034,"106-09 169th StJamaica, NY 11433",House ,599000.0,4,2.0,2184.207862, Keystone Realty USA Corp,Queens,11433.0,Jamaica,-73.7875164,40.7003331
1035,"18 Pine StBrooklyn, NY 11208",House ,699999.0,4,2.0,2184.207862, Chase Global Realty Corp,Brooklyn,11208.0,East New York,-73.8740777,40.6862137
1036,"207-07 Estates Dr Unit 1Bayside, NY 11360",Pending,539000.0,1,1.0,725.0, Keller Williams,Queens,11360.0,North Queens,-73.7862803,40.7865988
1037,"35 E 30th St Apt 6DNew York, NY 10016",Co-op ,370000.0,3,1.0,2184.207862, ETPG ,Manhattan,10016.0,Gramercy Park,-73.9839731,40.7450423
1038,"2619 Shore PkwyBrooklyn, NY 11223",Townhouse ,1499000.0,9,6.0,2184.207862, BRPI ,Brooklyn,11223.0,South Brooklyn,-73.9738903,40.583514
1039,"318 W 36th St Apt 3ANew York, NY 10018",Co-op ,299000.0,1,1.0,2184.207862, Douglas Elliman ,Manhattan,10018.0,Chelsea,-73.9935323,40.7538054
1040,"57 Mace StStaten Island, NY 10306",House ,2400000.0,5,4.0,3800.0, NEUHAUS REALTY INC.,Staten Island,10306.0,South Shore,-74.1304878,40.5752476
1041,"3202 Nostrand Ave Apt 6EBrooklyn, NY 11229",Condo ,275000.0,1,1.0,850.0, Avenues ,Brooklyn,11229.0,South Brooklyn,-73.943238,40.6056272
1042,"789 W End Ave Unit 1A2Manhattan, NY 10025",Co-op ,1395000.0,3,3.0,1750.0, Brown Harris Stevens ,Manhattan,10025.0,Upper East Side,-73.9722076,40.7971343
1043,"1759 Bay Ridge Pkwy Unit 3EBrooklyn, NY 11204",Condo ,568000.0,2,1.0,550.0, EXIT REALTY TOP PROPERTIES,Brooklyn,11204.0,Borough Park,-73.9966616,40.6141211
1044,"20-46 41st StAstoria, NY 11105",Multi-family home ,1049000.0,3,2.0,2184.207862, Alexiou Realty,Queens,11105.0,Northwest Queens,-73.902397,40.7751162
1047,"22-15 Whitestone ExpyWhitestone, NY 11357",House ,899000.0,4,2.0,1200.0, E Realty International Corp,Queens,11357.0,North Queens,-73.8257555,40.7791608
1048,"257 W 86th St Unit 8CNew York, NY 10024",Co-op ,495000.0,1,1.0,2184.207862, Keller Williams,Manhattan,10024.0,Upper East Side,-73.9767931,40.7885633
1049,"1303 College AveBronx, NY 10456",House ,535000.0,3,3.0,1328.0, Nest Seekers International,Bronx,10456.0,High Bridge,-73.9119966,40.8355073
1050,"364 Mosely AveStaten Island, NY 10312",House ,799999.0,3,2.0,1596.0, Gillani Homes Inc.,Staten Island,10312.0,South Shore,-74.1682869,40.5419604
1051,"406 W 45th St Apt 3DManhattan, NY 10036",Condo ,1989000.0,2,2.0,1274.0, COMPASS,Manhattan,10036.0,Chelsea,-73.9919328,40.7603978
1052,"873 Fox StBronx, NY 10459",House ,699000.0,6,4.0,2223.0, RE MAX Voyage,Bronx,10459.0,Hunts Point,-73.8954715,40.818678
1053,"2400 Johnson Ave Apt 9CBronx, NY 10463",Co-op ,369000.0,1,1.0,900.0, EXIT REALTY GROUP,Bronx,10463.0,Riverdale,-73.9184692,40.8763984
1054,"22-63 Nameoke AveFar Rockaway, NY 11691",House ,599000.0,4,4.0,2100.0, Realty Trends Corp,Queens,11691.0,Rockaway,-73.7565424,40.6083635
1055,"2821 Kings Hwy Apt 1NBrooklyn, NY 11229",Co-op ,169000.0,1,1.0,680.0, GOLDEN REAL CORP.,Brooklyn,11229.0,South Brooklyn,-73.9464928,40.6150193
1056,"1243 Rhinelander AveBronx, NY 10461",House ,749000.0,3,2.0,1600.0, Elite Real Estate Group 1 Llc,Bronx,10461.0,Southeast Bronx,-73.8490394,40.8544909
1057,"310 Jefferson BlvdStaten Island, NY 10312",House ,1099000.0,5,4.0,3500.0, RAIMONDO RONALD,Staten Island,10312.0,South Shore,-74.1847061,40.5457789
1058,"266 Corona AveStaten Island, NY 10306",Townhouse ,475000.0,2,2.0,1364.0, Exp Realty,Staten Island,10306.0,South Shore,-74.1422664,40.5634891
1059,"3535 Kings College Pl Apt 3EBronx, NY 10467",Co-op ,124900.0,1,1.0,676.0," Weichert, Realtors ",Bronx,10467.0,Fordham,-73.8758596,40.880833
1060,"170 Russek DrStaten Island, NY 10312",Contingent,619000.0,3,2.0,1943.0, RE MAX,Staten Island,10312.0,South Shore,-74.1993422,40.5478529
1061,"14 Cascade StStaten Island, NY 10306",Contingent,599000.0,3,1.0,1008.0," Neuhaus Realty, Inc.",Staten Island,10306.0,South Shore,-74.1025463,40.5819307
1062,"72 Campus RdStaten Island, NY 10301",Contingent,689900.0,3,2.0,1486.0, Wonica REALTORS & Appraisers,Staten Island,10301.0,Stapleton,-74.0930021,40.6126021
1063,"5020 Grosvenor AveBronx, NY 10471",House ,5900000.0,7,8.0,10100.0, Corcoran,Bronx,10471.0,Riverdale,-73.903306,40.897896
1064,"1718 Purdy St Apt MbBronx, NY 10462",Condo ,249000.0,2,1.0,815.0, Exp Realty,Bronx,10462.0,Southeast Bronx,-73.854142,40.840962
1066,"51 Forest LnStaten Island, NY 10307",Townhouse ,549000.0,3,2.0,1150.0, Red Door Realty Group,Staten Island,10307.0,South Shore,-74.2388518,40.5032035
1067,"221 Mac Donough St Unit TownhouseBrooklyn, NY 11233",Townhouse ,2995000.0,4,6.0,2184.207862, Brown Harris Stevens,Brooklyn,11233.0,Central Brooklyn,-73.9373297,40.6819529
1068,"6140 Delafield AveBronx, NY 10471",Multi-family home ,1999000.0,6,4.0,3850.0, RE MAX,Bronx,10471.0,Riverdale,-73.9017893,40.9110703
1069,"450 Cyrus PlBronx, NY 10458",Multi-family home ,350000.0,3,2.5,2184.207862, Rock Home Realty Group Inc,Bronx,10458.0,Fordham,-73.8918995,40.8585142
1070,"21-57 33rd St Unit 5EAstoria, NY 11105",Co-op ,269000.0,1,1.0,2184.207862, Exp Realty,Queens,11105.0,Northwest Queens,-73.9087334,40.7759232
1071,"5000 Iselin AveBronx, NY 10471",House ,7500000.0,6,2.5,2184.207862, TREBACH REALTY INC,Bronx,10471.0,Riverdale,-73.904797,40.8982423
1072,"22 E 93rd StNew York, NY 10128",Townhouse ,9950000.0,10,10.0,2184.207862," Sotheby's International Realty, Inc.",Manhattan,10128.0,Upper East Side,-73.9560385,40.7852855
1073,"530 E 76th St Unit 27CDManhattan, NY 10021",Condo ,2200000.0,3,4.0,1779.0, COMPASS,Manhattan,10021.0,Upper East Side,-73.9499965,40.7685084
1074,"140-27 183rd StSpringfield Gardens, NY 11413",House ,479000.0,4,2.0,1800.0, PREMIERE REAL ESTATE GROUP INC,Queens,11413.0,Southwest Queens,-73.7606794,40.6714818
1075,"960 5th Ave Unit 12Manhattan, NY 10075",Co-op ,60000000.0,8,8.0,2184.207862, COMPASS,Manhattan,10075.0,Upper East Side,-73.9642465,40.7756423
1076,"6 Burns St Apt 111Forest Hills, NY 11375",Co-op ,329000.0,1,1.0,2184.207862, Benjamin Realty Since 1980,Queens,11375.0,West Central Queens,-73.8453248,40.7193051
1077,"815 Riverside DrNew York, NY 10032",Pending,1500000.0,5,7.0,4384.0, Douglas Elliman  ,Manhattan,10032.0,Washington Heights,-73.9459545,40.8354875
1078,"819 E 22nd StBrooklyn, NY 11210",Multi-family home ,560000.0,3,2.5,2184.207862, Sowae Corp,Brooklyn,11210.0,Flatbush,-73.955309,40.632221
1079,"2546 Bailey Ave Unit 2FAMBronx, NY 10463",Townhouse ,588000.0,4,3.0,2160.0, The Bouklis Group ,Bronx,10463.0,Riverdale,-73.9078533,40.8678944
1080,"303 E 77th St Ph CNew York, NY 10075",Condo ,3300000.0,2,2.0,1652.0, Corcoran,Manhattan,10075.0,Upper East Side,-73.9555341,40.7720149
1082,"112-30 Northern Blvd Unit 4GCorona, NY 11368",Co-op ,169999.0,2,1.0,2184.207862, COMPASS,Queens,11368.0,West Queens,-73.8562374,40.7579027
1083,"10 Bay Street Lndg Apt 5EStaten Island, NY 10301",Co-op ,439000.0,1,1.0,950.0, R New York,Staten Island,10301.0,Stapleton,-74.073964,40.638118
1084,"83-12 Doran AveGlendale, NY 11385",House ,758000.0,3,2.0,1760.0, Tscherne Realty Inc,Queens,11385.0,West Central Queens,-73.865415,40.708633
1085,"162-31 9th Ave Unit 6BWhitestone, NY 11357",Co-op ,448000.0,3,1.0,2184.207862, B Square Realty,Queens,11357.0,North Queens,-73.7984822,40.7932677
1087,"10 Carroll StBrooklyn, NY 11231",Townhouse ,2977000.0,4,4.0,2601.0, COMPASS,Brooklyn,11231.0,Northwest Brooklyn,-74.005483,40.6834305
1088,"2500 Johnson Ave Apt 12MBronx, NY 10463",Co-op ,385000.0,1,1.0,900.0, Brown Harris Stevens,Bronx,10463.0,Riverdale,-73.9177034,40.876794
1089,"911 Hicksville RdFar Rockaway, NY 11691",House ,1475000.0,5,4.0,1928.0, All Going Realty Llc,Queens,11691.0,Rockaway,-73.7455103,40.5999698
1090,"48-49 196th StFresh Meadows, NY 11365",House ,978000.0,3,2.0,2184.207862, Mitra Hakimi Realty Group LLC,Queens,11365.0,Central Queens,-73.7765367,40.7337126
1091,"21 India St Apt 36FBrooklyn, NY 11222",Condo ,2700000.0,3,3.0,1398.0, COMPASS,Brooklyn,11222.0,Green Point,-73.9610327,40.7320824
1092,"29 Hampton PlBrooklyn, NY 11213",House ,3500000.0,24,8.0,9500.0, CHRISTIE'S INT.REAL ESTATE GROUP,Brooklyn,11213.0,Central Brooklyn,-73.9407352,40.6717953
1093,"629 Kappock St Apt 4ABronx, NY 10463",Co-op ,349000.0,2,1.0,900.0, Douglas Elliman ,Bronx,10463.0,Riverdale,-73.9168342,40.8802558
1094,"25-23 120th StFlushing, NY 11354",Townhouse ,790000.0,3,2.0,1596.0, RE MAX Frontier,Queens,11354.0,North Queens,-73.8477672,40.7761945
1095,"2 Bay Club Dr Apt 17PQueens, NY 11360",Condo ,750000.0,2,2.0,995.0, Corcoran,Queens,11360.0,North Queens,-73.7810479,40.7784107
1096,"3001 Henry Hudson West Parkway Pkwy W Unit 1FGBronx, NY 10463",Co-op ,1195000.0,3,3.0,995.0, Brown Harris Stevens,Bronx,10463.0,Riverdale,-73.9165737,40.8830898
1097,"285 Riverside Dr Apt 5BManhattan, NY 10025",Co-op ,1750000.0,3,3.0,995.0, COMPASS,Manhattan,10025.0,Upper East Side,-73.9723967,40.7989206
1098,"93 St Stephens PlStaten Island, NY 10306",House ,874999.0,3,2.0,2868.0, Keller Williams Realty West Monmouth,Staten Island,10306.0,South Shore,-74.119431,40.5771798
1099,"251 Seaman Ave Apt 1CNew York, NY 10034",Co-op ,324900.0,1,1.0,900.0, Coldwell Banker M&D Good Life,Manhattan,10034.0,Washington Heights,-73.9178483,40.8716437
1100,"1160 Colgate Ave Apt 1DBronx, NY 10472",Co-op ,97500.0,2,1.0,791.0, Exit Realty DKC,Bronx,10472.0,Southeast Bronx,-73.881623,40.8279037
1101,"15 E 70th St Unit 1AManhattan, NY 10021",Condo ,2200000.0,2,2.0,2035.0, COMPASS,Manhattan,10021.0,Upper East Side,-73.966733,40.7708684
1102,"25 Piedmont AveStaten Island, NY 10305",Contingent,999000.0,4,4.0,1798.0, Momentum Real Estate LLC,Staten Island,10305.0,Stapleton,-74.0737747,40.6032357
1103,"3167 Wissman AveBronx, NY 10465",House ,550000.0,2,2.0,995.0, RE MAX,Bronx,10465.0,Southeast Bronx,-73.8074205,40.8209689
1104,"33-44 93rd St Unit 3SJackson Heights, NY 11372",Co-op ,519999.0,3,2.0,1100.0, RE MAX,Queens,11372.0,West Queens,-73.8752634,40.7551143
1105,"1700 Carlton AveStaten Island, NY 10309",House ,729000.0,2,1.0,1100.0, JM Properties,Staten Island,10309.0,South Shore,-74.1998415,40.5343207
1106,"735 6th AveBrooklyn, NY 11215",Contingent,999999.0,12,6.0,3900.0, Bhuiyan Properties LLC,Brooklyn,11215.0,Northwest Brooklyn,-73.9920247,40.6589824
1107,"545 Arbutus AveStaten Island, NY 10312",House ,2898555.0,5,5.0,7200.0, Staten Island Premiere Properties,Staten Island,10312.0,South Shore,-74.1780566,40.5203019
1108,"115-33 227th StCambria Heights, NY 11411",House ,611999.0,3,2.0,2184.207862, Exit All Seasons Realty,Queens,11411.0,Southwest Queens,-73.7315945,40.6973209
1109,"182 Kensington StBrooklyn, NY 11235",House ,1500000.0,3,3.0,2100.0, RE MAX,Brooklyn,11235.0,South Brooklyn,-73.9420211,40.5786182
1110,"2601 Avenue PBrooklyn, NY 11229",House ,5600000.0,5,4.0,4959.0, CENTURY 21,Brooklyn,11229.0,South Brooklyn,-73.9477154,40.611854
1111,"44B Edgewater Park Unit 44BBronx, NY 10465",Co-op ,299999.0,2,1.0,857.0, De Luca Realty Group INC,Bronx,10465.0,Southeast Bronx,-73.8084775,40.8227774
1112,"797 Woodrow RdStaten Island, NY 10312",House ,2358000.0,4,5.0,6300.0, NEUHAUS REALTY INC.,Staten Island,10312.0,South Shore,-74.1923203,40.5467194
1113,"40 Lander AveStaten Island, NY 10314",House ,748888.0,2,2.0,1260.0," Tom Crimmins Realty, Ltd.",Staten Island,10314.0,Mid Island,-74.1603745,40.6131085
1114,"14 Buffalo StStaten Island, NY 10306",House ,630000.0,2,2.0,1450.0," Robert Defalco Realty, Inc.",Staten Island,10306.0,South Shore,-74.1344639,40.5604211
1115,"40 Pinehurst Ave Apt 8BNew York, NY 10033",Condo ,1389000.0,2,2.0,1043.0, Mcgrath Realty Inc.,Manhattan,10033.0,Washington Heights,-73.94014,40.849705
1116,"108-49 63rd Ave Unit 6FForest Hills, NY 11375",Co-op ,319000.0,2,1.0,925.0, Keller Williams Points North,Queens,11375.0,West Central Queens,-73.8491198,40.7355842
1117,"20 Eldridge AveStaten Island, NY 10302",House ,319000.0,3,1.0,2184.207862, Sowae Corp,Staten Island,10302.0,Port Richmond,-74.1357292,40.6242127
1118,"318 Brighton StStaten Island, NY 10307",Pending,1250000.0,6,4.0,2184.207862, COMPASS REALTY CENTRAL INC,Staten Island,10307.0,South Shore,-74.2429452,40.5022937
1119,"73-38 199th StFresh Meadows, NY 11366",Multi-family home ,1199000.0,4,3.0,1848.0, COMPASS,Queens,11366.0,Central Queens,-73.7733194,40.7349473
1120,"51 Jefferson AveStaten Island, NY 10306",Multi-family home ,1500000.0,6,4.0,3328.0, UNITED NATIONAL REALTY,Staten Island,10306.0,South Shore,-74.1036081,40.585111
1121,"1324 E 101st StBrooklyn, NY 11236",House ,780000.0,3,2.0,1320.0," Brooklyn Real Property, Inc",Brooklyn,11236.0,Canarsie,-73.8899834,40.6384339
1122,"655 Riverside Dr Apt 1ANew York, NY 10031",Co-op ,350000.0,2,1.0,2184.207862, Ubiq,Manhattan,10031.0,Washington Heights,-73.9529963,40.8255972
